Ngày;PS-Open;PS-High;PS-Low;PS-Close;CS-Open;CS-High;CS-Low;CS-Close;KL_PS(K);KL_CS(M);K?t qu? Trade (Giá);PS H-L;CS H-L;CS C-O;CS - PS ;CS(C)-PS(C)
15-Thg7;;;;;;;;;;;;0;0;0;0;0
14-Thg7;;;;;;;;;;;;0;0;0;0;0
13-Thg7;;;;;;;;;;;;0;0;0;0;0
12-Thg7;;;;;;;;;;;;0;0;0;0;0
11-Thg7;;;;;;;;;;;;0;0;0;0;0
08-Thg7;;;;;;;;;;;;0;0;0;0;0
07-Thg7;1215,7;1226,2;1213;1225;1212,36;1229,23;1209,97;1229,23;319,336;98,639;-4,2;13,2;19,26;16,87;-6,06;4,23
06-Thg7;1234,8;1234,8;1213,4;1218;1241,19;1241,19;1211,94;1211,94;399,286;131,18;-2;21,4;29,25;-29,25;-7,85;-6,06
05-Thg7;1248,3;1251,9;1234;1234,9;1252,48;1256,47;1239,8;1242,05;332,002;162,031;-5;17,9;16,67;-10,43;1,23;7,15
04-Thg7;1247;1252,1;1238,1;1242;1256,2;1260,72;1244,5;1248,37;245,644;112,84;-5;14;16,22;-7,83;-2,22;6,37
01-Thg7;1241;1243,5;1221,5;1242;1247,7;1255,67;1225,64;1252,24;330,352;118,891;4;22;30,03;4,54;-8,03;10,24
30-Thg6;1262;1264,8;1240,1;1240,1;1273,99;1276,23;1248,92;1248,92;256,951;118,014;0;24,7;27,31;-25,07;-2,61;8,82
29-Thg6;1255;1262,9;1251,1;1260,5;1259,83;1274,73;1259,41;1273,4;289,583;113,296;0;11,8;15,32;13,57;-3,52;12,9
28-Thg6;1246;1266,5;1242,7;1261;1254,35;1276,21;1249,57;1273,41;258,194;151,571;0;23,8;26,64;19,06;-2,84;12,41
27-Thg6;1236;1247,9;1234;1247,9;1238,23;1256,67;1237,79;1256,67;218,952;110,597;13;13,9;18,88;18,44;-4,98;8,77
24-Thg6;1236;1237,9;1226;1227;1239,54;1246,22;1234,72;1235,47;243,816;90,437;-10;11,9;11,5;-4,07;0,4;8,47
23-Thg6;1222;1230,3;1216,3;1227,8;1219,67;1240,58;1219,08;1240,58;336,908;105,24;7;14;21,5;20,91;-7,5;12,78
22-Thg6;1233,7;1240,9;1216;1216;1233,28;1242,06;1222,86;1227,18;404,68;142,695;22;24,9;19,2;-6,1;5,7;11,18
21-Thg6;1216,8;1240;1210,5;1228;1220,76;1240,8;1212,69;1224,54;504,516;172,802;5;29,5;28,11;3,78;1,39;-3,46
20-Thg6;1244,8;1249,4;1212;1212;1258,3;1262,83;1223,03;1225,56;405,214;168,768;7;37,4;39,8;-32,74;-2,4;13,56
