Trading order;Time;Price;+/-;Volumn;Order;Date
4722;14:45:10;1.225;7;6,684;B;07/07/2022
4721;14:30:05;1.223,80;5,8;0,06;S;07/07/2022
4720;14:30:01;1.223,20;5,2;0,163;B;07/07/2022
4719;14:29:57;1.223,80;5,8;0,133;S;07/07/2022
4718;14:29:52;1.223,20;5,2;0,129;B;07/07/2022
4717;14:29:48;1.223,40;5,4;0,098;S;07/07/2022
4716;14:29:44;1.222,90;4,9;0,287;B;07/07/2022
4715;14:29:40;1.222,60;4,6;0,182;B;07/07/2022
4714;14:29:36;1.222,90;4,9;0,222;B;07/07/2022
4713;14:29:32;1.222,60;4,6;0,146;S;07/07/2022
4712;14:29:28;1.222,80;4,8;0,154;S;07/07/2022
4711;14:29:24;1.222,50;4,5;0,224;B;07/07/2022
4710;14:29:18;1.222,50;4,5;0,145;B;07/07/2022
4709;14:29:14;1.222,90;4,9;0,139;S;07/07/2022
4708;14:29:10;1.222,90;4,9;0,117;S;07/07/2022
4707;14:29:06;1.222,50;4,5;0,282;B;07/07/2022
4706;14:29:01;1.222,90;4,9;0,273;B;07/07/2022
4705;14:28:58;1.223;5;0,095;B;07/07/2022
4704;14:28:54;1.223;5;0,096;B;07/07/2022
4703;14:28:48;1.223,10;5,1;0,043;B;07/07/2022
4702;14:28:44;1.223,10;5,1;0,249;B;07/07/2022
4701;14:28:37;1.223,40;5,4;0,028;B;07/07/2022
4700;14:28:33;1.223,50;5,5;0,073;B;07/07/2022
4699;14:28:28;1.223,40;5,4;0,244;B;07/07/2022
4698;14:28:24;1.223,60;5,6;0,135;S;07/07/2022
4697;14:28:20;1.223,50;5,5;0,06;B;07/07/2022
4696;14:28:15;1.223,60;5,6;0,191;B;07/07/2022
4695;14:28:11;1.223,60;5,6;0,033;B;07/07/2022
4694;14:28:07;1.223,50;5,5;0,058;B;07/07/2022
4693;14:28:03;1.223,70;5,7;0,21;B;07/07/2022
4692;14:27:58;1.223,50;5,5;0,052;B;07/07/2022
4691;14:27:54;1.223,70;5,7;0,146;S;07/07/2022
4690;14:27:50;1.223,60;5,6;0,079;S;07/07/2022
4689;14:27:46;1.223,50;5,5;0,078;B;07/07/2022
4688;14:27:42;1.223,60;5,6;0,057;B;07/07/2022
4687;14:27:37;1.223,50;5,5;0,172;S;07/07/2022
4686;14:27:33;1.223,40;5,4;0,106;S;07/07/2022
4685;14:27:28;1.223,50;5,5;0,227;S;07/07/2022
4684;14:27:24;1.223;5;0,139;B;07/07/2022
4683;14:27:20;1.223;5;0,129;S;07/07/2022
4682;14:27:16;1.222,80;4,8;0,108;B;07/07/2022
4681;14:27:12;1.222,80;4,8;0,171;B;07/07/2022
4680;14:27:07;1.223,10;5,1;0,051;S;07/07/2022
4679;14:27:03;1.222,80;4,8;0,047;B;07/07/2022
4678;14:26:59;1.222,60;4,6;0,402;B;07/07/2022
4677;14:26:51;1.222,80;4,8;0,288;B;07/07/2022
4676;14:26:47;1.223,50;5,5;0,172;B;07/07/2022
4675;14:26:39;1.223,80;5,8;0,184;S;07/07/2022
4674;14:26:34;1.223,20;5,2;0,205;B;07/07/2022
4673;14:26:30;1.223,50;5,5;0,111;B;07/07/2022
4672;14:26:26;1.223,50;5,5;0,03;B;07/07/2022
4671;14:26:22;1.223,20;5,2;0,487;B;07/07/2022
4670;14:26:18;1.223,60;5,6;0,06;B;07/07/2022
4669;14:26:10;1.223,50;5,5;0,082;B;07/07/2022
4668;14:26:05;1.223,90;5,9;0,137;B;07/07/2022
4667;14:26:00;1.224,50;6,5;0,097;S;07/07/2022
4666;14:25:56;1.224;6;0,147;B;07/07/2022
4665;14:25:52;1.224,50;6,5;0,239;S;07/07/2022
4664;14:25:48;1.224,40;6,4;0,082;B;07/07/2022
4663;14:25:44;1.224,50;6,5;0,009;B;07/07/2022
4662;14:25:40;1.224,70;6,7;0,106;B;07/07/2022
4661;14:25:36;1.224,90;6,9;0,172;S;07/07/2022
4660;14:25:33;1.224,40;6,4;0,267;B;07/07/2022
4659;14:25:24;1.224,40;6,4;0,132;S;07/07/2022
4658;14:25:19;1.224;6;0,119;B;07/07/2022
4657;14:25:15;1.225;7;0,551;S;07/07/2022
4656;14:25:11;1.224,10;6,1;0,078;S;07/07/2022
